pathway_id	gene_id
mmu00250	mmu:66514
mmu00250	mmu:69719
mmu00250	mmu:70503
mmu00250	mmu:73988
mmu00250	mmu:76282
mmu00250	mmu:76615
mmu00260	mmu:100678
mmu00260	mmu:104174
mmu00260	mmu:107272
mmu00260	mmu:107869
mmu00260	mmu:108037
mmu00260	mmu:109731
mmu00260	mmu:110695
mmu00260	mmu:11611
mmu00260	mmu:11655
mmu00260	mmu:11656
mmu00260	mmu:11754
mmu00260	mmu:12116
mmu00260	mmu:12183
mmu00260	mmu:12411
mmu00260	mmu:13142
mmu00260	mmu:13382
mmu00260	mmu:14431
mmu00260	mmu:14711
mmu00260	mmu:17161
mmu00260	mmu:18648
mmu00260	mmu:19193
mmu00260	mmu:192166
mmu00260	mmu:20425
mmu00260	mmu:218865
mmu00260	mmu:231691
mmu00260	mmu:235582
mmu00260	mmu:236539
mmu00260	mmu:237940
mmu00260	mmu:257635
mmu00260	mmu:268782
mmu00260	mmu:26912
mmu00260	mmu:27364
mmu00260	mmu:434437
mmu00260	mmu:56012
mmu00260	mmu:58865
mmu00260	mmu:67092
mmu00260	mmu:68133
mmu00260	mmu:71776
mmu00260	mmu:74129
mmu00260	mmu:76238
mmu00270	mmu:100041585
mmu00270	mmu:100328588
mmu00270	mmu:100470
mmu00270	mmu:104923
mmu00270	mmu:106557
mmu00270	mmu:107272
mmu00270	mmu:107869
mmu00270	mmu:108645
mmu00270	mmu:11615
mmu00270	mmu:11702
mmu00270	mmu:11720
mmu00270	mmu:12035
mmu00270	mmu:12036
mmu00270	mmu:12116
mmu00270	mmu:12411
mmu00270	mmu:12583
mmu00270	mmu:13433
mmu00270	mmu:13435
mmu00270	mmu:13436
mmu00270	mmu:14204
mmu00270	mmu:14629
mmu00270	mmu:14630
mmu00270	mmu:14711
mmu00270	mmu:14718
mmu00270	mmu:14719
mmu00270	mmu:14854
mmu00270	mmu:16828
mmu00270	mmu:16832
mmu00270	mmu:16833
mmu00270	mmu:17448
mmu00270	mmu:17449
mmu00270	mmu:20603
mmu00270	mmu:20810
mmu00270	mmu:210808
mmu00270	mmu:22117
mmu00270	mmu:229709
